date,time,voltage,co2_ppm,formatted_datetime
6/26/2021,5:40:00 AM,0.1023,341,06/26/2021 05:40
6/26/2021,5:50:00 AM,0.0988,329.3333333,06/26/2021 05:50
6/26/2021,6:00:00 AM,0.1011,337,06/26/2021 06:00
6/26/2021,6:10:00 AM,0.1014,338,06/26/2021 06:10
6/26/2021,6:20:00 AM,0.1027,342.3333333,06/26/2021 06:20
6/26/2021,6:30:00 AM,0.1016,338.6666667,06/26/2021 06:30
6/26/2021,6:40:00 AM,0.1011,337,06/26/2021 06:40
6/26/2021,6:50:00 AM,0.1001,333.6666667,06/26/2021 06:50
6/26/2021,7:00:00 AM,0.1008,336,06/26/2021 07:00
6/26/2021,7:10:00 AM,0.1011,337,06/26/2021 07:10
6/26/2021,7:20:00 AM,0.0986,328.6666667,06/26/2021 07:20
6/26/2021,7:30:00 AM,0.0984,328,06/26/2021 07:30
6/26/2021,7:40:00 AM,0.096,320,06/26/2021 07:40
6/26/2021,7:50:00 AM,0.096,320,06/26/2021 07:50
6/26/2021,8:00:00 AM,0.0982,327.3333333,06/26/2021 08:00
6/26/2021,8:10:00 AM,0.0936,312,06/26/2021 08:10
6/26/2021,8:20:00 AM,0.0933,311,06/26/2021 08:20
6/26/2021,8:30:00 AM,0.0907,302.3333333,06/26/2021 08:30
6/26/2021,8:40:00 AM,0.0916,305.3333333,06/26/2021 08:40
6/26/2021,8:50:00 AM,0.0931,310.3333333,06/26/2021 08:50
6/26/2021,9:00:00 AM,0.094,313.3333333,06/26/2021 09:00
6/26/2021,9:10:00 AM,0.091,303.3333333,06/26/2021 09:10
6/26/2021,9:20:00 AM,0.0881,293.6666667,06/26/2021 09:20
6/26/2021,9:30:00 AM,0.0883,294.3333333,06/26/2021 09:30
6/26/2021,9:40:00 AM,0.0883,294.3333333,06/26/2021 09:40
6/26/2021,9:50:00 AM,0.0884,294.6666667,06/26/2021 09:50
6/26/2021,10:00:00 AM,0.0879,293,06/26/2021 10:00
6/26/2021,10:10:00 AM,0.0917,305.6666667,06/26/2021 10:10
6/26/2021,10:20:00 AM,0.0879,293,06/26/2021 10:20
6/26/2021,10:30:00 AM,0.0876,292,06/26/2021 10:30
6/26/2021,10:40:00 AM,0.0874,291.3333333,06/26/2021 10:40
6/26/2021,10:50:00 AM,0.0851,283.6666667,06/26/2021 10:50
6/26/2021,11:00:00 AM,0.0836,278.6666667,06/26/2021 11:00
6/26/2021,11:10:00 AM,0.0876,292,06/26/2021 11:10
6/26/2021,11:20:00 AM,0.0921,307,06/26/2021 11:20
6/26/2021,11:30:00 AM,0.0876,292,06/26/2021 11:30
6/26/2021,11:40:00 AM,0.0855,285,06/26/2021 11:40
6/26/2021,11:50:00 AM,0.0856,285.3333333,06/26/2021 11:50
6/26/2021,12:00:00 PM,0.0903,301,06/26/2021 12:00
6/26/2021,12:10:00 PM,0.0932,310.6666667,06/26/2021 12:10
6/26/2021,12:20:00 PM,0.087,290,06/26/2021 12:20
6/26/2021,12:30:00 PM,0.0868,289.3333333,06/26/2021 12:30
6/26/2021,12:40:00 PM,0.0862,287.3333333,06/26/2021 12:40
6/26/2021,12:50:00 PM,0.0897,299,06/26/2021 12:50
6/26/2021,1:00:00 PM,0.0901,300.3333333,06/26/2021 13:00
6/26/2021,1:10:00 PM,0.0885,295,06/26/2021 13:10
6/26/2021,1:20:00 PM,0.0899,299.6666667,06/26/2021 13:20
6/26/2021,1:30:00 PM,0.0883,294.3333333,06/26/2021 13:30
6/26/2021,1:40:00 PM,0.0872,290.6666667,06/26/2021 13:40
6/26/2021,1:50:00 PM,0.0849,283,06/26/2021 13:50
6/26/2021,2:00:00 PM,0.0845,281.6666667,06/26/2021 14:00
6/26/2021,2:10:00 PM,0.0902,300.6666667,06/26/2021 14:10
6/26/2021,2:20:00 PM,0.094,313.3333333,06/26/2021 14:20
6/26/2021,2:30:00 PM,0.0906,302,06/26/2021 14:30
6/26/2021,2:40:00 PM,0.0885,295,06/26/2021 14:40
6/26/2021,2:50:00 PM,0.0874,291.3333333,06/26/2021 14:50
6/26/2021,3:00:00 PM,0.0853,284.3333333,06/26/2021 15:00
6/26/2021,3:10:00 PM,0.0876,292,06/26/2021 15:10
6/26/2021,3:20:00 PM,0.0897,299,06/26/2021 15:20
6/26/2021,3:30:00 PM,0.0865,288.3333333,06/26/2021 15:30
6/26/2021,3:40:00 PM,0.0898,299.3333333,06/26/2021 15:40
6/26/2021,3:50:00 PM,0.0876,292,06/26/2021 15:50
6/26/2021,4:00:00 PM,0.0898,299.3333333,06/26/2021 16:00
6/26/2021,4:10:00 PM,0.0927,309,06/26/2021 16:10
6/26/2021,4:20:00 PM,0.0927,309,06/26/2021 16:20
6/26/2021,4:30:00 PM,0.0905,301.6666667,06/26/2021 16:30
6/26/2021,4:40:00 PM,0.0902,300.6666667,06/26/2021 16:40
6/26/2021,4:50:00 PM,0.0914,304.6666667,06/26/2021 16:50
6/26/2021,5:00:00 PM,0.086,286.6666667,06/26/2021 17:00
6/26/2021,5:10:00 PM,0.0879,293,06/26/2021 17:10
6/26/2021,5:20:00 PM,0.0913,304.3333333,06/26/2021 17:20
6/26/2021,5:30:00 PM,0.0902,300.6666667,06/26/2021 17:30
6/26/2021,5:40:00 PM,0.0932,310.6666667,06/26/2021 17:40
6/26/2021,5:50:00 PM,0.0958,319.3333333,06/26/2021 17:50
6/26/2021,6:00:00 PM,0.0959,319.6666667,06/26/2021 18:00
6/26/2021,6:10:00 PM,0.0935,311.6666667,06/26/2021 18:10
6/26/2021,6:20:00 PM,0.0979,326.3333333,06/26/2021 18:20
6/26/2021,6:30:00 PM,0.0929,309.6666667,06/26/2021 18:30
6/26/2021,6:40:00 PM,0.0934,311.3333333,06/26/2021 18:40
6/26/2021,6:50:00 PM,0.0937,312.3333333,06/26/2021 18:50
6/26/2021,7:00:00 PM,0.0924,308,06/26/2021 19:00
6/26/2021,7:10:00 PM,0.0965,321.6666667,06/26/2021 19:10
6/26/2021,7:20:00 PM,0.0944,314.6666667,06/26/2021 19:20
6/26/2021,7:30:00 PM,0.096,320,06/26/2021 19:30
6/26/2021,7:40:00 PM,0.0966,322,06/26/2021 19:40
6/26/2021,7:50:00 PM,0.0957,319,06/26/2021 19:50
6/26/2021,8:00:00 PM,0.0995,331.6666667,06/26/2021 20:00
6/26/2021,8:10:00 PM,0.0959,319.6666667,06/26/2021 20:10
6/26/2021,8:20:00 PM,0.0989,329.6666667,06/26/2021 20:20
6/26/2021,8:30:00 PM,0.0979,326.3333333,06/26/2021 20:30
6/26/2021,8:40:00 PM,0.099,330,06/26/2021 20:40
6/26/2021,8:50:00 PM,0.0963,321,06/26/2021 20:50
6/26/2021,9:00:00 PM,0.1004,334.6666667,06/26/2021 21:00
6/26/2021,9:10:00 PM,0.0986,328.6666667,06/26/2021 21:10
6/26/2021,9:20:00 PM,0.0959,319.6666667,06/26/2021 21:20
6/26/2021,9:30:00 PM,0.099,330,06/26/2021 21:30
6/26/2021,9:40:00 PM,0.0986,328.6666667,06/26/2021 21:40
6/26/2021,9:50:00 PM,0.0983,327.6666667,06/26/2021 21:50
6/26/2021,10:00:00 PM,0.0996,332,06/26/2021 22:00
6/26/2021,10:10:00 PM,0.1035,345,06/26/2021 22:10
6/26/2021,10:20:00 PM,0.0991,330.3333333,06/26/2021 22:20
6/26/2021,10:30:00 PM,0.1024,341.3333333,06/26/2021 22:30
6/26/2021,10:40:00 PM,0.0961,320.3333333,06/26/2021 22:40
6/26/2021,10:50:00 PM,0.1029,343,06/26/2021 22:50
6/26/2021,11:00:00 PM,0.098,326.6666667,06/26/2021 23:00
6/26/2021,11:10:00 PM,0.0983,327.6666667,06/26/2021 23:10
6/26/2021,11:20:00 PM,0.0989,329.6666667,06/26/2021 23:20
6/26/2021,11:30:00 PM,0.0971,323.6666667,06/26/2021 23:30
6/26/2021,11:40:00 PM,0.0983,327.6666667,06/26/2021 23:40
6/26/2021,11:50:00 PM,0.0999,333,06/26/2021 23:50
6/27/2021,12:00:00 AM,0.0999,333,06/27/2021 00:00
6/27/2021,12:10:00 AM,0.1008,336,06/27/2021 00:10
6/27/2021,12:20:00 AM,0.1019,339.6666667,06/27/2021 00:20
6/27/2021,12:30:00 AM,0.101,336.6666667,06/27/2021 00:30
6/27/2021,12:40:00 AM,0.0995,331.6666667,06/27/2021 00:40
6/27/2021,12:50:00 AM,0.1009,336.3333333,06/27/2021 00:50
6/27/2021,1:00:00 AM,0.1023,341,06/27/2021 01:00
6/27/2021,1:10:00 AM,0.1032,344,06/27/2021 01:10
6/27/2021,1:20:00 AM,0.1014,338,06/27/2021 01:20
6/27/2021,1:30:00 AM,0.1005,335,06/27/2021 01:30
6/27/2021,1:40:00 AM,0.0998,332.6666667,06/27/2021 01:40
6/27/2021,1:50:00 AM,0.101,336.6666667,06/27/2021 01:50
6/27/2021,2:00:00 AM,0.0985,328.3333333,06/27/2021 02:00
6/27/2021,2:10:00 AM,0.101,336.6666667,06/27/2021 02:10
6/27/2021,2:20:00 AM,0.1017,339,06/27/2021 02:20
6/27/2021,2:30:00 AM,0.1015,338.3333333,06/27/2021 02:30
6/27/2021,2:40:00 AM,0.0987,329,06/27/2021 02:40
6/27/2021,2:50:00 AM,0.1009,336.3333333,06/27/2021 02:50
6/27/2021,3:00:00 AM,0.0985,328.3333333,06/27/2021 03:00
6/27/2021,3:10:00 AM,0.0984,328,06/27/2021 03:10
6/27/2021,3:20:00 AM,0.1008,336,06/27/2021 03:20
6/27/2021,3:30:00 AM,0.1028,342.6666667,06/27/2021 03:30
6/27/2021,3:40:00 AM,0.1015,338.3333333,06/27/2021 03:40
6/27/2021,3:50:00 AM,0.0989,329.6666667,06/27/2021 03:50
6/27/2021,4:00:00 AM,0.1021,340.3333333,06/27/2021 04:00
6/27/2021,4:10:00 AM,0.0987,329,06/27/2021 04:10
6/27/2021,4:20:00 AM,0.0982,327.3333333,06/27/2021 04:20
6/27/2021,4:30:00 AM,0.0963,321,06/27/2021 04:30
6/27/2021,4:40:00 AM,0.0977,325.6666667,06/27/2021 04:40
6/27/2021,4:50:00 AM,0.1008,336,06/27/2021 04:50
6/27/2021,5:00:00 AM,0.0987,329,06/27/2021 05:00
6/27/2021,5:10:00 AM,0.1026,342,06/27/2021 05:10
6/27/2021,5:20:00 AM,0.1011,337,06/27/2021 05:20
6/27/2021,5:30:00 AM,0.0983,327.6666667,06/27/2021 05:30
6/27/2021,5:40:00 AM,0.0987,329,06/27/2021 05:40
6/27/2021,5:50:00 AM,0.0984,328,06/27/2021 05:50
6/27/2021,6:00:00 AM,0.0959,319.6666667,06/27/2021 06:00
6/27/2021,6:10:00 AM,0.0974,324.6666667,06/27/2021 06:10
6/27/2021,6:20:00 AM,0.0935,311.6666667,06/27/2021 06:20
6/27/2021,6:30:00 AM,0.0959,319.6666667,06/27/2021 06:30
6/27/2021,6:40:00 AM,0.0979,326.3333333,06/27/2021 06:40
6/27/2021,6:50:00 AM,0.0968,322.6666667,06/27/2021 06:50
6/27/2021,7:00:00 AM,0.0945,315,06/27/2021 07:00
6/27/2021,7:10:00 AM,0.0959,319.6666667,06/27/2021 07:10
6/27/2021,7:20:00 AM,0.0964,321.3333333,06/27/2021 07:20
6/27/2021,7:30:00 AM,0.0959,319.6666667,06/27/2021 07:30
6/27/2021,7:40:00 AM,0.0935,311.6666667,06/27/2021 07:40
6/27/2021,7:50:00 AM,0.0954,318,06/27/2021 07:50
6/27/2021,8:00:00 AM,0.0953,317.6666667,06/27/2021 08:00
6/27/2021,8:10:00 AM,0.0931,310.3333333,06/27/2021 08:10
6/27/2021,8:20:00 AM,0.0897,299,06/27/2021 08:20
6/27/2021,8:30:00 AM,0.0903,301,06/27/2021 08:30
6/27/2021,8:40:00 AM,0.0859,286.3333333,06/27/2021 08:40
6/27/2021,8:50:00 AM,0.0889,296.3333333,06/27/2021 08:50
6/27/2021,9:00:00 AM,0.0895,298.3333333,06/27/2021 09:00
6/27/2021,9:10:00 AM,0.0871,290.3333333,06/27/2021 09:10
6/27/2021,9:20:00 AM,0.0854,284.6666667,06/27/2021 09:20
6/27/2021,9:30:00 AM,0.0879,293,06/27/2021 09:30
6/27/2021,9:40:00 AM,0.0899,299.6666667,06/27/2021 09:40
6/27/2021,9:50:00 AM,0.0899,299.6666667,06/27/2021 09:50
6/27/2021,10:00:00 AM,0.0906,302,06/27/2021 10:00
6/27/2021,10:10:00 AM,0.0876,292,06/27/2021 10:10
6/27/2021,10:20:00 AM,0.0895,298.3333333,06/27/2021 10:20
6/27/2021,10:30:00 AM,0.085,283.3333333,06/27/2021 10:30
6/27/2021,10:40:00 AM,0.0896,298.6666667,06/27/2021 10:40
6/27/2021,10:50:00 AM,0.0873,291,06/27/2021 10:50
6/27/2021,11:00:00 AM,0.0849,283,06/27/2021 11:00
6/27/2021,11:10:00 AM,0.0839,279.6666667,06/27/2021 11:10
6/27/2021,11:20:00 AM,0.0882,294,06/27/2021 11:20
6/27/2021,11:30:00 AM,0.0854,284.6666667,06/27/2021 11:30
6/27/2021,11:40:00 AM,0.0832,277.3333333,06/27/2021 11:40
6/27/2021,11:50:00 AM,0.0875,291.6666667,06/27/2021 11:50
6/27/2021,12:00:00 PM,0.0855,285,06/27/2021 12:00
6/27/2021,12:10:00 PM,0.0914,304.6666667,06/27/2021 12:10
6/27/2021,12:20:00 PM,0.0873,291,06/27/2021 12:20
6/27/2021,12:30:00 PM,0.0877,292.3333333,06/27/2021 12:30
6/27/2021,12:40:00 PM,0.0861,287,06/27/2021 12:40
6/27/2021,12:50:00 PM,0.0859,286.3333333,06/27/2021 12:50
6/27/2021,1:00:00 PM,0.0878,292.6666667,06/27/2021 13:00
6/27/2021,1:10:00 PM,0.0903,301,06/27/2021 13:10
6/27/2021,1:20:00 PM,0.0868,289.3333333,06/27/2021 13:20
6/27/2021,1:30:00 PM,0.0866,288.6666667,06/27/2021 13:30
6/27/2021,1:40:00 PM,0.0879,293,06/27/2021 13:40
6/27/2021,1:50:00 PM,0.0878,292.6666667,06/27/2021 13:50
6/27/2021,2:00:00 PM,0.0853,284.3333333,06/27/2021 14:00
6/27/2021,2:10:00 PM,0.0899,299.6666667,06/27/2021 14:10
6/27/2021,2:20:00 PM,0.0832,277.3333333,06/27/2021 14:20
6/27/2021,2:30:00 PM,0.0899,299.6666667,06/27/2021 14:30
6/27/2021,2:40:00 PM,0.0892,297.3333333,06/27/2021 14:40
6/27/2021,2:50:00 PM,0.0911,303.6666667,06/27/2021 14:50
6/27/2021,3:00:00 PM,0.0867,289,06/27/2021 15:00
6/27/2021,3:10:00 PM,0.0896,298.6666667,06/27/2021 15:10
6/27/2021,3:20:00 PM,0.0929,309.6666667,06/27/2021 15:20
6/27/2021,3:30:00 PM,0.0925,308.3333333,06/27/2021 15:30
6/27/2021,3:40:00 PM,0.0905,301.6666667,06/27/2021 15:40
6/27/2021,3:50:00 PM,0.0889,296.3333333,06/27/2021 15:50
6/27/2021,4:00:00 PM,0.0926,308.6666667,06/27/2021 16:00
6/27/2021,4:10:00 PM,0.0879,293,06/27/2021 16:10
6/27/2021,4:20:00 PM,0.093,310,06/27/2021 16:20
6/27/2021,4:30:00 PM,0.0914,304.6666667,06/27/2021 16:30
6/27/2021,4:40:00 PM,0.093,310,06/27/2021 16:40
6/27/2021,4:50:00 PM,0.0938,312.6666667,06/27/2021 16:50
6/27/2021,5:00:00 PM,0.0934,311.3333333,06/27/2021 17:00
6/27/2021,5:10:00 PM,0.0954,318,06/27/2021 17:10
6/27/2021,5:20:00 PM,0.0982,327.3333333,06/27/2021 17:20
6/27/2021,5:30:00 PM,0.0921,307,06/27/2021 17:30
6/27/2021,5:40:00 PM,0.0954,318,06/27/2021 17:40
6/27/2021,5:50:00 PM,0.0929,309.6666667,06/27/2021 17:50
6/27/2021,6:00:00 PM,0.0907,302.3333333,06/27/2021 18:00
6/27/2021,6:10:00 PM,0.0926,308.6666667,06/27/2021 18:10
6/27/2021,6:20:00 PM,0.0908,302.6666667,06/27/2021 18:20
6/27/2021,6:30:00 PM,0.0925,308.3333333,06/27/2021 18:30
6/27/2021,6:40:00 PM,0.0928,309.3333333,06/27/2021 18:40
6/27/2021,6:50:00 PM,0.0938,312.6666667,06/27/2021 18:50
6/27/2021,7:00:00 PM,0.0941,313.6666667,06/27/2021 19:00
6/27/2021,7:10:00 PM,0.0907,302.3333333,06/27/2021 19:10
6/27/2021,7:20:00 PM,0.0947,315.6666667,06/27/2021 19:20
6/27/2021,7:30:00 PM,0.0955,318.3333333,06/27/2021 19:30
6/27/2021,7:40:00 PM,0.0959,319.6666667,06/27/2021 19:40
6/27/2021,7:50:00 PM,0.0978,326,06/27/2021 19:50
6/27/2021,8:00:00 PM,0.1006,335.3333333,06/27/2021 20:00
6/27/2021,8:10:00 PM,0.0933,311,06/27/2021 20:10
6/27/2021,8:20:00 PM,0.1005,335,06/27/2021 20:20
6/27/2021,8:30:00 PM,0.0962,320.6666667,06/27/2021 20:30
6/27/2021,8:40:00 PM,0.1,333.3333333,06/27/2021 20:40
6/27/2021,8:50:00 PM,0.0959,319.6666667,06/27/2021 20:50
6/27/2021,9:00:00 PM,0.0987,329,06/27/2021 21:00
6/27/2021,9:10:00 PM,0.0959,319.6666667,06/27/2021 21:10
6/27/2021,9:20:00 PM,0.0983,327.6666667,06/27/2021 21:20
6/27/2021,9:30:00 PM,0.0986,328.6666667,06/27/2021 21:30
6/27/2021,9:40:00 PM,0.0958,319.3333333,06/27/2021 21:40
6/27/2021,9:50:00 PM,0.1009,336.3333333,06/27/2021 21:50
6/27/2021,10:00:00 PM,0.1008,336,06/27/2021 22:00
6/27/2021,10:10:00 PM,0.1005,335,06/27/2021 22:10
6/27/2021,10:20:00 PM,0.1006,335.3333333,06/27/2021 22:20
6/27/2021,10:30:00 PM,0.0984,328,06/27/2021 22:30
6/27/2021,10:40:00 PM,0.1008,336,06/27/2021 22:40
6/27/2021,10:50:00 PM,0.1017,339,06/27/2021 22:50
6/27/2021,11:00:00 PM,0.0985,328.3333333,06/27/2021 23:00
6/27/2021,11:10:00 PM,0.1008,336,06/27/2021 23:10
6/27/2021,11:20:00 PM,0.1031,343.6666667,06/27/2021 23:20
6/27/2021,11:30:00 PM,0.1027,342.3333333,06/27/2021 23:30
6/27/2021,11:40:00 PM,0.1038,346,06/27/2021 23:40
6/27/2021,11:50:00 PM,0.101,336.6666667,06/27/2021 23:50
6/28/2021,12:00:00 AM,0.101,336.6666667,06/28/2021 00:00
6/28/2021,12:10:00 AM,0.101,336.6666667,06/28/2021 00:10
6/28/2021,12:20:00 AM,0.101,336.6666667,06/28/2021 00:20
6/28/2021,12:30:00 AM,0.0983,327.6666667,06/28/2021 00:30
6/28/2021,12:40:00 AM,0.1007,335.6666667,06/28/2021 00:40
6/28/2021,12:50:00 AM,0.0991,330.3333333,06/28/2021 00:50
6/28/2021,1:00:00 AM,0.0998,332.6666667,06/28/2021 01:00
6/28/2021,1:10:00 AM,0.1032,344,06/28/2021 01:10
6/28/2021,1:20:00 AM,0.1031,343.6666667,06/28/2021 01:20
6/28/2021,1:30:00 AM,0.0986,328.6666667,06/28/2021 01:30
6/28/2021,1:40:00 AM,0.0984,328,06/28/2021 01:40
6/28/2021,1:50:00 AM,0.1007,335.6666667,06/28/2021 01:50
6/28/2021,2:00:00 AM,0.0983,327.6666667,06/28/2021 02:00
6/28/2021,2:10:00 AM,0.1015,338.3333333,06/28/2021 02:10
6/28/2021,2:20:00 AM,0.1016,338.6666667,06/28/2021 02:20
6/28/2021,2:30:00 AM,0.1006,335.3333333,06/28/2021 02:30
6/28/2021,2:40:00 AM,0.101,336.6666667,06/28/2021 02:40
6/28/2021,2:50:00 AM,0.0978,326,06/28/2021 02:50
6/28/2021,3:00:00 AM,0.1028,342.6666667,06/28/2021 03:00
6/28/2021,3:10:00 AM,0.0969,323,06/28/2021 03:10
6/28/2021,3:20:00 AM,0.0983,327.6666667,06/28/2021 03:20
6/28/2021,3:30:00 AM,0.1004,334.6666667,06/28/2021 03:30
6/28/2021,3:40:00 AM,0.0984,328,06/28/2021 03:40
6/28/2021,3:50:00 AM,0.0975,325,06/28/2021 03:50
6/28/2021,4:00:00 AM,0.0982,327.3333333,06/28/2021 04:00
6/28/2021,4:10:00 AM,0.1001,333.6666667,06/28/2021 04:10
6/28/2021,4:20:00 AM,0.1003,334.3333333,06/28/2021 04:20
6/28/2021,4:30:00 AM,0.099,330,06/28/2021 04:30
6/28/2021,4:40:00 AM,0.0983,327.6666667,06/28/2021 04:40
6/28/2021,4:50:00 AM,0.1014,338,06/28/2021 04:50
6/28/2021,5:00:00 AM,0.0984,328,06/28/2021 05:00
6/28/2021,5:10:00 AM,0.0974,324.6666667,06/28/2021 05:10
6/28/2021,5:20:00 AM,0.0984,328,06/28/2021 05:20
6/28/2021,5:30:00 AM,0.0974,324.6666667,06/28/2021 05:30
6/28/2021,5:40:00 AM,0.0976,325.3333333,06/28/2021 05:40
6/28/2021,5:50:00 AM,0.0987,329,06/28/2021 05:50
6/28/2021,6:00:00 AM,0.0992,330.6666667,06/28/2021 06:00
6/28/2021,6:10:00 AM,0.0985,328.3333333,06/28/2021 06:10
6/28/2021,6:20:00 AM,0.0986,328.6666667,06/28/2021 06:20
6/28/2021,6:30:00 AM,0.0985,328.3333333,06/28/2021 06:30
6/28/2021,6:40:00 AM,0.0985,328.3333333,06/28/2021 06:40
6/28/2021,6:50:00 AM,0.1011,337,06/28/2021 06:50
6/28/2021,7:00:00 AM,0.0989,329.6666667,06/28/2021 07:00
6/28/2021,7:10:00 AM,0.0991,330.3333333,06/28/2021 07:10
6/28/2021,7:20:00 AM,0.0982,327.3333333,06/28/2021 07:20
6/28/2021,7:30:00 AM,0.1002,334,06/28/2021 07:30
6/28/2021,7:40:00 AM,0.0983,327.6666667,06/28/2021 07:40
6/28/2021,7:50:00 AM,0.096,320,06/28/2021 07:50
6/28/2021,8:00:00 AM,0.0936,312,06/28/2021 08:00
6/28/2021,8:10:00 AM,0.0932,310.6666667,06/28/2021 08:10
6/28/2021,8:20:00 AM,0.0923,307.6666667,06/28/2021 08:20
6/28/2021,8:30:00 AM,0.0908,302.6666667,06/28/2021 08:30
6/28/2021,8:40:00 AM,0.0908,302.6666667,06/28/2021 08:40
6/28/2021,8:50:00 AM,0.0873,291,06/28/2021 08:50
6/28/2021,9:00:00 AM,0.0855,285,06/28/2021 09:00
6/28/2021,9:10:00 AM,0.0876,292,06/28/2021 09:10
6/28/2021,9:20:00 AM,0.0864,288,06/28/2021 09:20
6/28/2021,9:30:00 AM,0.0901,300.3333333,06/28/2021 09:30
6/28/2021,9:40:00 AM,0.0898,299.3333333,06/28/2021 09:40
6/28/2021,9:50:00 AM,0.0915,305,06/28/2021 09:50
6/28/2021,10:00:00 AM,0.0905,301.6666667,06/28/2021 10:00
6/28/2021,10:10:00 AM,0.093,310,06/28/2021 10:10
6/28/2021,10:20:00 AM,0.0944,314.6666667,06/28/2021 10:20
6/28/2021,10:30:00 AM,0.0948,316,06/28/2021 10:30
6/28/2021,10:40:00 AM,0.0906,302,06/28/2021 10:40
6/28/2021,10:50:00 AM,0.0932,310.6666667,06/28/2021 10:50
6/28/2021,11:00:00 AM,0.097,323.3333333,06/28/2021 11:00
6/28/2021,11:10:00 AM,0.096,320,06/28/2021 11:10
6/28/2021,11:20:00 AM,0.098,326.6666667,06/28/2021 11:20
6/28/2021,11:30:00 AM,0.0962,320.6666667,06/28/2021 11:30
6/28/2021,11:40:00 AM,0.0904,301.3333333,06/28/2021 11:40
6/28/2021,11:50:00 AM,0.0868,289.3333333,06/28/2021 11:50
6/28/2021,12:00:00 PM,0.0851,283.6666667,06/28/2021 12:00
6/28/2021,12:10:00 PM,0.0885,295,06/28/2021 12:10
6/28/2021,12:20:00 PM,0.0926,308.6666667,06/28/2021 12:20
6/28/2021,12:30:00 PM,0.0921,307,06/28/2021 12:30
6/28/2021,12:40:00 PM,0.094,313.3333333,06/28/2021 12:40
6/28/2021,12:50:00 PM,0.0882,294,06/28/2021 12:50
6/28/2021,1:00:00 PM,0.0895,298.3333333,06/28/2021 13:00
6/28/2021,1:10:00 PM,0.084,280,06/28/2021 13:10
6/28/2021,1:20:00 PM,0.0847,282.3333333,06/28/2021 13:20
6/28/2021,1:30:00 PM,0.0886,295.3333333,06/28/2021 13:30
6/28/2021,1:40:00 PM,0.0906,302,06/28/2021 13:40
6/28/2021,1:50:00 PM,0.0872,290.6666667,06/28/2021 13:50
6/28/2021,2:00:00 PM,0.0846,282,06/28/2021 14:00
6/28/2021,2:10:00 PM,0.0852,284,06/28/2021 14:10
6/28/2021,2:20:00 PM,0.0875,291.6666667,06/28/2021 14:20
6/28/2021,2:30:00 PM,0.0891,297,06/28/2021 14:30
6/28/2021,2:40:00 PM,0.0827,275.6666667,06/28/2021 14:40
6/28/2021,2:50:00 PM,0.087,290,06/28/2021 14:50
6/28/2021,3:00:00 PM,0.0929,309.6666667,06/28/2021 15:00
6/28/2021,3:10:00 PM,0.0915,305,06/28/2021 15:10
6/28/2021,3:20:00 PM,0.087,290,06/28/2021 15:20
6/28/2021,3:30:00 PM,0.0854,284.6666667,06/28/2021 15:30
6/28/2021,3:40:00 PM,0.0853,284.3333333,06/28/2021 15:40
6/28/2021,3:50:00 PM,0.0894,298,06/28/2021 15:50
6/28/2021,4:00:00 PM,0.0918,306,06/28/2021 16:00
6/28/2021,4:10:00 PM,0.0916,305.3333333,06/28/2021 16:10
6/28/2021,4:20:00 PM,0.0923,307.6666667,06/28/2021 16:20
6/28/2021,4:30:00 PM,0.0917,305.6666667,06/28/2021 16:30
6/28/2021,4:40:00 PM,0.0925,308.3333333,06/28/2021 16:40
6/28/2021,4:50:00 PM,0.0926,308.6666667,06/28/2021 16:50
6/28/2021,5:00:00 PM,0.0919,306.3333333,06/28/2021 17:00
6/28/2021,5:10:00 PM,0.0903,301,06/28/2021 17:10
6/28/2021,5:20:00 PM,0.0883,294.3333333,06/28/2021 17:20
6/28/2021,5:30:00 PM,0.0928,309.3333333,06/28/2021 17:30
6/28/2021,5:40:00 PM,0.0934,311.3333333,06/28/2021 17:40
6/28/2021,5:50:00 PM,0.091,303.3333333,06/28/2021 17:50
6/28/2021,6:00:00 PM,0.091,303.3333333,06/28/2021 18:00
6/28/2021,6:10:00 PM,0.0954,318,06/28/2021 18:10
6/28/2021,6:20:00 PM,0.0979,326.3333333,06/28/2021 18:20
6/28/2021,6:30:00 PM,0.0982,327.3333333,06/28/2021 18:30
6/28/2021,6:40:00 PM,0.099,330,06/28/2021 18:40
6/28/2021,6:50:00 PM,0.0984,328,06/28/2021 18:50
6/28/2021,7:00:00 PM,0.1014,338,06/28/2021 19:00
6/28/2021,7:10:00 PM,0.0965,321.6666667,06/28/2021 19:10
6/28/2021,7:20:00 PM,0.0988,329.3333333,06/28/2021 19:20
6/28/2021,7:30:00 PM,0.0983,327.6666667,06/28/2021 19:30
6/28/2021,7:40:00 PM,0.1001,333.6666667,06/28/2021 19:40
6/28/2021,7:50:00 PM,0.1009,336.3333333,06/28/2021 19:50
6/28/2021,8:00:00 PM,0.1007,335.6666667,06/28/2021 20:00
6/28/2021,8:10:00 PM,0.1008,336,06/28/2021 20:10
6/28/2021,8:20:00 PM,0.096,320,06/28/2021 20:20
6/28/2021,8:30:00 PM,0.1019,339.6666667,06/28/2021 20:30
6/28/2021,8:40:00 PM,0.1054,351.3333333,06/28/2021 20:40
6/28/2021,8:50:00 PM,0.1035,345,06/28/2021 20:50
6/28/2021,9:00:00 PM,0.0998,332.6666667,06/28/2021 21:00
6/28/2021,9:10:00 PM,0.1014,338,06/28/2021 21:10
6/28/2021,9:20:00 PM,0.1041,347,06/28/2021 21:20
